CookerStat, GenerateAssetRegistry=0.015646, Initialize=0.081349, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_965C81094C7BE9379620C1A854902621_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=0.296392, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A03B9EE04E2559B803511482D019E__FF61AB39822DD0D070B633A798A1843CB932A491, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=6899, Duration=1.815028, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_965C81094C7BE9379620C1A854902__A176B28499593E98E98D3534A7505C2E9373133C, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=6014, Duration=1.969770, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=157.688324, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180__333F41591BE2663E92B809F2D2879818F49A1402, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=2097414, Duration=6.797049, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180__AAAEFE1374294240E5A3851C515E5CEADE390BBF, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=524550, Duration=3.472481, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180__6DF5F9F91563440B984FA6386A555E49A54E338C, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=131332, Duration=4.857145, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180__A00691F439A88FCEEAF0CC58B11A96A827900C86, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=33028, Duration=3.983054, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C1BDEE7458DBBA9E145CB999E118EF4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=10.540884, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180__6384F365CE4DBF7A7BAF304A56D252033252C7D1, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=8452, Duration=3.236677, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
